date,Candidate,search interest (indexed 1-100),
May 4 2015,Ben Carson,17.97,
May 5 2015,Ben Carson,9.23,
May 6 2015,Ben Carson,3.86,
May 7 2015,Ben Carson,4.51,
May 8 2015,Ben Carson,2.77,
May 9 2015,Ben Carson,2.20,
May 10 2015,Ben Carson,3.16,
May 11 2015,Ben Carson,2.10,
May 12 2015,Ben Carson,1.50,
May 13 2015,Ben Carson,1.33,
May 14 2015,Ben Carson,1.74,
May 15 2015,Ben Carson,1.74,
May 16 2015,Ben Carson,1.43,
May 17 2015,Ben Carson,1.33,
May 18 2015,Ben Carson,1.15,
May 19 2015,Ben Carson,1.12,
May 20 2015,Ben Carson,1.14,
May 21 2015,Ben Carson,1.19,
May 22 2015,Ben Carson,0.90,
May 23 2015,Ben Carson,1.31,
May 24 2015,Ben Carson,1.82,
May 25 2015,Ben Carson,1.32,
May 26 2015,Ben Carson,0.96,
May 27 2015,Ben Carson,1.15,
May 28 2015,Ben Carson,1.18,
May 29 2015,Ben Carson,1.00,
May 30 2015,Ben Carson,0.93,
May 31 2015,Ben Carson,1.01,
Jun 1 2015,Ben Carson,1.06,
Jun 2 2015,Ben Carson,0.90,
Jun 3 2015,Ben Carson,0.86,
Jun 4 2015,Ben Carson,1.04,
Jun 5 2015,Ben Carson,1.07,
Jun 6 2015,Ben Carson,0.98,
Jun 7 2015,Ben Carson,1.00,
Jun 8 2015,Ben Carson,0.80,
Jun 9 2015,Ben Carson,0.78,
Jun 10 2015,Ben Carson,0.97,
Jun 11 2015,Ben Carson,1.11,
Jun 12 2015,Ben Carson,0.93,
Jun 13 2015,Ben Carson,0.93,
Jun 14 2015,Ben Carson,0.90,
Jun 15 2015,Ben Carson,1.04,
Jun 16 2015,Ben Carson,1.67,
Jun 17 2015,Ben Carson,1.54,
Jun 18 2015,Ben Carson,1.31,
Jun 19 2015,Ben Carson,1.61,
Jun 20 2015,Ben Carson,1.35,
Jun 21 2015,Ben Carson,1.31,
Jun 22 2015,Ben Carson,1.27,
Jun 23 2015,Ben Carson,1.13,
Jun 24 2015,Ben Carson,1.25,
Jun 25 2015,Ben Carson,1.25,
Jun 26 2015,Ben Carson,1.58,
Jun 27 2015,Ben Carson,1.32,
Jun 28 2015,Ben Carson,1.36,
Jun 29 2015,Ben Carson,1.46,
Jun 30 2015,Ben Carson,1.32,
Jul 1 2015,Ben Carson,1.42,
Jul 2 2015,Ben Carson,1.33,
Jul 3 2015,Ben Carson,1.21,
Jul 4 2015,Ben Carson,1.17,
Jul 5 2015,Ben Carson,1.38,
Jul 6 2015,Ben Carson,0.97,
Jul 7 2015,Ben Carson,1.05,
Jul 8 2015,Ben Carson,0.96,
Jul 9 2015,Ben Carson,0.96,
Jul 10 2015,Ben Carson,1.02,
Jul 11 2015,Ben Carson,1.19,
Jul 12 2015,Ben Carson,1.22,
Jul 13 2015,Ben Carson,1.00,
Jul 14 2015,Ben Carson,0.96,
Jul 15 2015,Ben Carson,1.01,
Jul 16 2015,Ben Carson,0.94,
